Norwegian,English
å motsette,"to oppose, be opposed to, resist"
et teppe,"carpet, rug, curtain "
en aksjonær,"shareholder, stockholder"
moden,"ripe, mature "
begrenset,"limited, confined, restricted "
en jeger,hunter
en ild,"fire, ardour "
en grunnlov,constitution
smør -et,[the] butter 
underholdende,entertaining 
innsyn -et,[the] view (into)
en tankegang,"mentality, mind"
et utfall,"outcome, result, issue "
å beskylde,to accuse (sby of sth)
et innblikk,insight
å frakte,"to haul, transport"
en sjanger,"genre, manner, style "
en lærerskole,teachers' (training) college
ei tilnærming,"approximation, approach "
en duell,duel
en dagsorden,agenda (of a meeting)
et kor,"choir, chorus"
gledelig,"glad, happy"
å klemme,"to press, squeeze; hug; pinch"
å referere,"to report, give an account of "
et sinne,"anger, temper "
en installasjon,installation
en fotballspiller,"football player, footballer "
en stillhet,"stillness, quiet"
islamsk,Islamic 
ethvert,"every (-one, -body) (neutral)"
et opphav,"origin, source, cause"
et karneval,"maquerade ball, carnival"
følgelig,"accordingly, consequently"
å dempe,"to lessen, lower, muffle, soften"
å demonstrere,to demonstrate
identisk,identical
en kritiker,critic
et kommunestyre,"city council, county board"
gigantisk,gigantic
skitten,"dirty, polluted, muddy, obscene"
en hyttetur,(weekend) trip to a cabin
lagring -a,"[the] storage, warehousing, maturing, seasoning"
akseptabel,acceptable
å vie,"to consecrate, dedicate, marry"
intellektuell,intellectual
en hoppbakke,(ski) jumping hill
et bind,"bandage, sanitary napkin, truss, blindfold, volume (book)"
ris -en,[the] rice 
et styremedlem,director; board member
spredning -a,"[the] spread, scattering, diffusion"
intelligent,intelligent
ei innledning,"beginning, opening; preface"
gjengjeld -en,"[the] return, reprisal"
service -n,[the] service 
en hauk,hawk
herfra,from here; from this
en seer,"viewer; seer, prophet "
en manager,"impresario, manager, agent "
et hoff,"court, royal household"
en dybde,depth(s); [fig.] profundity
en ånd,"spirit; genius, intellect, mind"
ei grind,"gate, wicket"
naiv,"simple(-minded), naive, ingenuous, artless "
ei rehabilitering,rehabilitation 
å grille,"to grill, barbecue"
å utelukke,to exclude; prevent
et toalett,"toilet, bathroom "
en fritidsklubb,"recreation club, youth club "
et arbeidsmiljø,work environment
plast -en,[the] plastic
en fridag,"holyday, day (night) off"
bråk -et,"[the] noise, difficulty, fuss, trouble"
et fotballag,football team 
en klassiker,classic; classicist
en kafé,"cafe, restaurant"
nøytral,neutral 
en instruktør,"coach, director (of a theater)"
et fotografi,"photograph, photography"
usynlig,invisible 
ei hodepine,headache
å avgi,"to give, make (statement); emit, give off (e.g. odor)"
femtende,fifteenth
en os,"smoke, strong odour, reek "
en oversettelse,"translation, version, rendering "
en lisens,license
å farte,to wander from place to place
en anmelder,"critic, reviewer; informer"
å tilsette,"to add, appoint "
et bad,"bath, swim, dip, bathroom, bathing resort"
ei tomt,"lot, site, yard, plot "
hundrevis,hundreds
en agenda,agenda 
en espresso,espresso 
å påføre,"to insert in, add to, cause"
ei drue,"grape, [poet.] wine"
en fylkesmann,"~county prefect, district governor"
et hopp,"jump, leap, hop"
en adferd,behaviour
et skuespill,"play, spectacle "
en debut,début
nord,north 
feber -en,[the] fever
rasistisk,racist 
å erkjenne,"to acknowledge, admit; perceive, realize"
en megler,"arbitrator, mediator, negotiator"
ei brødskive,slice of bread
å digge,"(slang) dig, enjoy "
en brannmann,fireman
fyll -a,"[the] fill, rubble, padding"
en dusj,shower (bath; apparatus)
bortenfor,"beyond, on the other side (of)"
et klipp,"clip, clipping, snip"
rettferdighet -en,[the] justice 
tilrettelegging -a,[the] adaption 
filosofisk,philosophical
en bergenser,man from Bergen
å låte,"to ring, sound; whimper"
et terningkast,throw of the dice; rating
et barndomshjem,childhood home
å snike,"to sneak, slink "
lovverk,"law code, legislation"
tjue,twenty 
å underlegge,"to place under; subdue, conquer"
ufattelig,"incomprehensible, inconceivable "
et kjøleskap,refrigerator
et fagområde,"subject area, specialized field "
å lade,to charge
jordbruk -et,[the] agriculture
en illustrasjon,illustration
volleyball -en,[the] volleyball 
litterær,literary
meg,"me, myself <objective case of jeg, eg>"
et skoleår,school year
voldelig,"forcible, forcibly"
et prosentpoeng,percentage point
et kjør,rush
et fond,"fund, stock, store, legady, reserve"
vestover,to the west
overvekt -a,"[the] excess weight, predominance "
en formue,"fortune, assets, capital"
et varsel,warning
en fangst,"catching, taking"
alliert,"allied power, ally "
en vane,"habit, custom"
en kul,"bump, swelling "
en gris,pig; grease
innpå,"close to, close up to"
en ungkar,bachelor 
et medlemsland,member country 
borti,"against; over at, over in"
funksjonshemmet,"disabled, functionally disabled "
et passord,password 
et klasserom,classroom
å forsinke,to delay
en trener,"coach, trainer "
en demonstrasjon,"demonstration (public protest, show of feeling)"
ei økt,"spell, shift "
et trehus,"wooden house, treehouse "
å skjerpe,to sharpen 
ei levering,[merc.] delivery
oppsiktsvekkende,"sensational, dramatic "
en slipp,slip; boat yard; gi ~ på = to give up
å praktisere,"to practice, put into practice "
tømmer -et,"[the] timber, lumber, logs "
en dåp,"baptism, christening"
å filme,"to act in the movies; make, produce a movie"
et teater,theatre 
åpenhet -en,"[the] openness, receptivity; candor, frankness"
noenlunde,"tolerably, fairly, passably"
elleve,eleven
selvtillit -a,"[the] self-confidence, self-reliance "
ei tatovering,tattooing 
ei rekkefølge,"order, sequence, succession"
et samtykke,"consent, approval, approbation "
uavgjort,"unsettled, undecided "
en sykkelsti,cycle lane 
å bomme,to miss; beg
ei svigerdatter,daughter-in-law 
ap -et,"[the] jester, teaser"
gresk,Greek
en storby,"city, large city "
ei celle,cell
en pensjonist,pensioner
å tilsende,to send to
å undervise,"to teach, instruct, train "
å springe,to run; jump
troverdig,credible 
en megapiksel,megapixel 
et søsken,sibling
et rede,nest 
en skandale,scandal 
en master,[naut.] mast; (power) pylon; (radio) tower
nød -a,"[the] need, want, necessity, emergency "
snever,"narrow, close "
snål,"odd, droll, funny "
en stiftelse,"establishment, founding "
jernbane -n,"[the] railroad, railway"
slang -en,[the] slang 
et søkelys,searchlight 
ei arbeidsgruppe,"work group, working group"
å skravle,"to chatter, jabber "
et mesterskap,[i sport] championship 
ei skive,"face, slice"
ei skjorte,shirt 
å etterfølge,"to follow, comply with"
ei skiløype,ski track
ei sammensetning,composition
ensom,"lonely, lonesome"
omsider,"at (long) last, at length; finally"
en boligpris,house price
en business,business 
en lagmannsrett,"[jur.] circuit court, court of appeals"
et inngrep,"interference, intervention"
å sjarmere,"to charm, fascinate "
et mannskap,men; [mil.] troops
ei rulleskøyte,roller skate 
å innhente,"to obtain, secure"
ei rotte,rat 
angivelig,"ostensible, reported, supposed"
ei lommebok,billfold; wallet
opplagt,"in a good mood, fit, in form "
en riksvei,main road
ei diskriminering,discrimination 
å forlenge,"to lengthen, extend, prolong"
å restaurere,"to restore, renovate "
en samarbeidspartner,"collaborator, partner "
å pynte,"to decorate, trim "
en veileder,guide
språklig,linguistic 
et farvel,goodbye; [poet.] farewell
å lokke,"to allure, entice, tempt; lure; seduce"
å verne,"to preserve, defend "
isteden,instead
å konstatere,"to ascertain, establish; declare"
et korn,grain; cereal(s); kernel; sight (on a gun)
ei overside,"top side, upper side "
ei lomme,pocket
fristende,"alluring, inviting"
å overnatte,"to stay overnight, spend the night "
et aksjemarked,"equity market, share market, stock exchange "
atter,"[lit.] again, once more"
kongelig,"royal, regal, kingly"
ei utside,outside 
lukt -en,"[the] odor, smell"
oppigjennom,up through
en allianse,alliance
syvende,seventh 
optimistisk,optimistic 
varierende,varying
en konsernsjef,group managing director and chief executive
gjennomgående,"through, common, general"
misbruk -et,"[the] misuse, improper use "
diesel -en,[the] diesel (fuel)
en krok,hook; bend
hektisk,hectic
en motorvei,"motorway, highway "
offshore,offshore 
en krets,"circle, ring; district"
tilgjengelighet -a,"[the] accessibility, availability "
å drite,to defecate [vulg.]
ei melkeku,milk cow
å stifte,"to found, institute; nail"
respektiv,respective 
å summe,"to buzz, hum, drone "
å tråkke,"to trudge, trample"
å strømme,"to flow, stream"
anvendelse -n,"[the] use, making use (of)"
en postboks,post office box
et pund,pound 
en ljå,scythe
en opprinnelse,"origin, source "
en ost,cheese
en prins,prince 
et opprør,"riot, uproar"
å frata,to deprive of
absurd,absurd
fæl,"awful, terrible"
å oppgradere,to upgrade 
å bade,to bathe; go swimming
å toppe,"to top, (waves) comb, crest"
ei mellomtid,interval 
kull -et,"[the] brood, hatch, litter; coal"
sammenhengende,coherent
blodig,"bloody; cruel, rank"
krem -en,[the] whipped cream; custard; face cream
kontant,"cash; forthright, ready; bossy"
et ritt,ride 
å utdele,"to distribute, share out, apportion "
fysikk -en,[the] physics
et sykehjem,nursing home 
passiv,"passive, inactive"
matt,"faint, feeble; dull, mat; lackluster"
et bredbånd,"wide strip, broadband"
å innfri,"to fulfill, redeem"
kompleks,complex
flaks -en,[the] luck
et aspekt,"configuration (of stars); [pop.] [pl] omens, prospects (esp. for weather)"
å gjette,"to guess, conjecture"
personell -et,[the] personnel 
skjønt,"though, although "
å sovne,to fall asleep 
ei turnering,"tournament, turney, joust "
en flokk,"body, crowd, flock"
derved,"thereby, by that means, with that"
en semifinale,semifinal 
genetisk,genetic
ishockey -en,[the] ice hockey
dressur -en,[the] (animal) training
en stolpe,"pole, post, pillar "
en disposisjon,"disposition, nature; (pl) measures, steps"
en monitor,monitor 
en bestefar,grandfather
en general,general [mil.]
en skala,scale 
et lokalsamfunn,local community 
omstridt,"at issue, in dispute, disputed "
en distribusjon,distribution
en borger,citizen
en make,"mate; equal, spouse"
ei hette,"hood; cap, cowl"
en depresjon,depression
herlighet -a,"[the] glory, splendor"
et vassdrag,waterway
å provosere,to provoke 
en konsesjon,"concession, license, rights"
en mottaker,"recipient, consignee, receiver"
ei oppgradering,upgrading 
en represalie,reprisal 
en løper,runner
et grisehus,pigsty
å ty,"to fall back on, take refuge with "
gjemsel -et,[the] hiding place
shopping -en,[the] shopping
kontra,vesus
dødelig,"deadly, fatal, mortal"
internasjonal ,international 
en opprettelse,"establishment, setting up, foundation "
pepper -en,[the] pepper
en okkupasjon,occupation 
å stelle,"to take care of, arrange; nurse"
et friår,"sabbatical year, year off, year free "
en ordre,"order, command "
en revolusjonær,revolutionary 
et forbilde,"ideal, model, pattern"
et fôr,"feed, fodder"
en fjord,"fjord, inlet"
innendørs,indoor
å veie,to weigh
å forkjøle,to cool
en bruker,"person who operates, runs sth"
en oppvekst,years of growth 
fløte -a,[the] cream
en trailer,"trailer, trailer truck "
en akademiker,"academician, college graduate"
ei bestilling,"order; office, position; job"
å finte,to feint; tease
å smelte,"to melt, smelt"
arbeidstilsyn -et,[the] (local) labor commission (to enforce labor laws)
en ørret,trout 
å revidere,"to audit, examine, revise"
å stramme,to tighten 
ei tante,aunt
å innstille,"to adjust, focus; adapt"
et abonnement,subscription
å slikke,to lick
å pågripe,to arrest 
hurtig,"fast, quick"
å røpe,"to betray, disclose, give away, divulge"
uregistrert,unregistered 
et helsepersonell,"health personnel, medical personnel "
herregud,"good God, good grief"
en dokk,dock
et utkast,"design, draft, outline, sketch "
defensiv,defensive
en spekulasjon,speculation 
et byggefelt,development 
ei henvisning,reference
en jury,jury (=lay judges); panel of judges
en tillitsvalgt,"representative, spokesman"
ei budeie,"dairy maid, milkmaid"
ei bukse,"trousers, pants"
innimellom,in between
å brøyte,"to clear away, break (new land), struggle"
plagsom,"annoying, troublesome "
bridge -n,[the] bridge (card game)
et ståsted,fixed place 
en selvfølge,matter of course 
ei brakke,barracks
redd,"frightened, afraid"
å bråke,"to be noisy, make fuss/trouble, brake, scutch"
å anmelde,"to review (book, etc.), report (e.g. crime)"
ei børse,(hunting) gun
hjertelig,"coridal, hearty"
bondeland -et,"[the] countryside, rural area "
en seksualitet,sexuality 
å krype,"to crawl, creep"
gjennomslag -et,[the] breakthrough
ei varsling,warning 
konsekvent,"consistent, logical"
et beite,bait
mekanisk,mechanical
å begeistre,to inspire
gyldig,valid
et balltre,(sport) bat
en konsulent,"adviser, consultant"
betraktelig,considerable
en porsjon,"helping, portion, plate"
en enkeltperson,"individual, person "
en funksjonalitet,functionality 
en allé,"avenue (of trees), trees lining and avenue"
urolig,"busy; disharmonious, uncomfortable"
en sport,sport
utendørs,outdoor(s)
ei samhandling,interaction 
anerkjent,"accepted, acknowledged"
ei venteliste,waiting list 
en komité,committee
ei høyreside,"right-hand, politikk) the Right, the right-wing "
å drøye,"to make sth go a long way, last longer"
et ideal,ideal
en helsetjeneste,health service 
en nordmann,Norwegian 
å vedde,"to bet, wager"
underliggende,underlying 
en varmekabel,heater cable 
å døpe,"to baptize, christen; [fig.] name"
ei due,"dove, pigeon"
en kalori,calorie
utenat,by heart 
et eple,apple
usunn,unhealthy
en undulat,budgie
gjensidig,"mutual, reciprocal"
en tyggegummi,chewing gum 
logikk -en,[the] logic
en ingrediens,ingredient
en skaper,"creator, maker "
å tusle,"to patter, walk gently "
et tun,yard 
pakistansk,Pakistani 
en kreativitet,creativity 
resterende,"remaining, residual "
ei bakside,rear; reverse
et objekt,object
et skjær,"skerry, rock, reef, gleam "
odds -en,[the] odds 
en gudstjeneste,(divine) service(s)
kortsiktig,[merc.] short-dated (loan)
ei voldtekt,rape
en fusjon,[merc.] merger
sportslig,sporting 
ei lønning,"pay, salary, wages"
samfunnsmessig,social 
en fordom,"of old, in (the) days of yore"
en abort,abortion; miscarriage
en spiker,"nail, spike "
avdød,"dead, deceased"
å importere,to import
en sving,"curve, turn, swing"
suveren,"superior, supreme "
enestående,"exceptional, unique; marvellous"
ei perle,pearl 
et tidsrom,"time, period, time span "
terrorisme -n,[the] terrorism
ei føring,"handling, transport, cargo, load"
ei snor,string 
usedvanlig,"unusual, uncommon "
fremgang -en,"[the] advancement, progress"
en smågutt,little boy 
en skuff,drawer 
et tryne,snout 
å formulere,"to formulate, word"
integrering -a,[the] integration 
grafisk,graphic
ei sklie,slide 
en karbohydrat,carbohydrate 
ei flukt,"escape, flight"
en skjærgård,skerries 
sulten,hungry 
overvektig,overweight
en ideologi,ideology
siviltjeneste -n,[the] civilian national service 
solidaritet -en,[the] solidarity 
en kommunist,Communist
et vennskap,friendship 
bokstavelig,"literal, to the letter"
en sentralskole,consolidated school
ei bestemor,grandmother
en klode,"planet, earth, world"
maktmisbruk -et,[the] abuse of power 
en sirkel,circle 
Sovjetunion -en,[the] Soviet Union 
å frigjøre,"to emancipate, liberate"
ei rype,grouse 
en sekretær,secretary 
ei hovedrolle,leading role
en nerve,nerve 
å svelge,to swallow 
ei ventetid,waiting time
oppdrett -et,"[the] breeding, raising "
å klarere,to clear; [obs.] pay off
fagfolk -et,"[the] experts, professionals"
diger,"big, enormous, heavy, thick"
håndball -en,[the] handball; ball of the thumb
enslig,"alone, single, solitary"
ironisk,ironic
å svi,"to burn, singe"
drivstoff -et,"[the] engine fuel, propellant "
en hovedperson,protagonist; head of a household
å motivere,"to justify, motivate"
ei dumping,dumping (of goods)
en influensa,"influenza, flu"
en plakat,"placard, bill, poster "
et bær,berry
et ektepar,married couple
å klappe,"to pat, hit, clap, beat (of heart)"
et punktum,"full stop, period"
et pakk,"scum, riff-raf; baggage [fam.]"
å kjennetegne,"to distinguish, mark"
å karakterisere,to characterize
å forfølge,"to follow, hunt, pursue, continue"
metall -et,[the] metal 
minimal,"minimal, negligible "
en skepsis,scepticism 
en debattant,"debater, discussant"
en kylling,chick; chicken (meat)
folkelig,"democratic, homely, plain, of the folk"
et forbehold,"reservation, caution"
verdiskaping -a,[the] added value
ei prinsesse,princess 
et stipend,"scholarship, stipend"
en garasje,garage
ei bevilgning,"appropriation (granting, funds granted)"
et skall,shell; peel; hull 
stilig,stylish 
ei bro,bridge
en forberedelse,"arrangement, preparation"
hasj -en,"[the] hashish, hash, pot "
ei påmelding,"registration, enrolment "
royal -en,[the] royalty 
å overdrive,"to overdo it, overstate "
ei lesning,reading
giftig,"poisonous, venomous"
en sort,sort
en anerkjennelse,"acceptance, acknowledgement"
hiv -en/-et,"[the] heave, lift, load; HIV"
jævla,"goddam, bleeding, effing, bloody"
en tablett,tablet 
et mareritt,nightmare
å overholde,to observe; reserve
å svømme,to swim 
et mandat,"authority, commission, mandate"
en eksistens,existence; (pl.) beings
en stasjon,station
å opparbeide,"to work up, build up"
en lekekamerat,playmate
et eierskap,ownership 
å oppbevare,to keep 
en ingeniør,engineer
oransje,"orange, orange-coloured "
en forbrytelse,"crime, offence"
et lerret,linen (cloth); canvas
utsatt,"exposed, vulnerable, postponed"
en eiendel,"piece of property, estate"
en stabel,stocks; pile
en kommode,"bureau, chest of drawers"
en kødd,"(vulgært) [penis] prick, dick "
utmerket,excellent 
ei duft,"fragrance, odor, perfume; [dial.] dust"
å knote,"to use affected, unnatural language"
troende,believing 
å nikke,nod 
representativ,representative 
medhold -et,"[the] approval, support"
et kapell,chapel; orchestra
ei beretning,"account, report, narrative"
en kanon,"cannon, (big) gun"
en kanin,rabbit
å klø,to scratch; itch
å fyre,"to fire, light, stoke"
et livssyn,"life philosophy, view of life"
ei arbeidsoppgave,"task, job "
å løslate,"to release, set free"
å omgi,"to encompass, encircle; surround"
interrail -en,[the] interrail 
et internat,boarding school
en statsråd,cabinet minister 
import -en,"[the] import, importation"
en komponent,component
en skribent,"writer, author "
ei høyblokk,"high-rise (block, apartment building)"
å brekke,"to break, snap"
et oppkjøp,"acquisition, purchase, buying "
en minister,"minister (for for, of)"
å kjede,"to bore; chain together, link"
ei pike,girl 
ekkel,"disgusting, revolting"
en innvirkning,"effect, influence"
ypperlig,"excellent, superb"
å skildre,"to portray, depict, describe "
søppel -en/-a/-et,"[the] refuse, waste "
en handelsskole,business school
rettslig,"legal, judicial "
desidert,"decided, definite"
ei gryte,"kettle, pot"
tyngde -a,"[the] weight, heaviness, gravity "
å voldta,"to rape, ravish "
en dispensasjon,exemption
å herske,"to reign, rule"
et kjøretøy,vehicle
urimelig,"absurd, preposterous"
et gatespråk,"vulgar speech, vulgar language "
årevis,"for years, for ages"
kommunisme -n,[the] Communism
et evangelium,gospel
tele -n,"[the] frost; ground frost, frozen soil"
en indikasjon,indication
en invitasjon,invitation
å forvalte,"to administer, conduct"
viktighet -en,[the] importance
ei formulering,formulation
en sensor,sensor; external examiner 
en programleder,TV host
ukentlig,weekly 
stål -et,[the] steel 
brå,"abrupt, sudden"
statistisk,statistical 
frustrasjon -en,[the] frustration 
en stortingsrepresentant,member of Parliament 
en autoritet,authority
et enebarn,only child
å nedlegge,"to bring down, kill"
utenfra,from outside 
gående,"walking, on foot "
utro,"unfaithful, disloyal "
daværende,then
en katalog,catalog
våken,"awake, watchful"
et bål,"open fire, bonfire"
et helikopter,helicopter
et sykefravær,sick leave
ei campingvogn,"caravan, camping trailer"
godkjent,"approved, licensed, authorized "
ei brille,"eyeglasses, glasses"
ros -en,[the] praise 
blond,blond(e)
et hold,"grasp, grip; flesh"
et blodtrykk,blood pressure
blid,"gentle, mild, good-natured"
å velte,to overturn
eksotisk,exotic
å romme,"to hold, contain, take "
fremragende,"exceptional, outstanding"
å fascinere,to fascinate
en sats,"type, composition, matter"
et bekken,"basin, bedpan; pelvis"
mang,many
psykiatrisk,psychiatric 
en båttur,"boating excursion, boating trip "
ei slekt,"family, relations "
innad,"in, inwards"
å fore,to feed
et styremøte,directors' meeting; board meeting 
en bamse,"bruin, bear"
en font,(baptismal) font
bakpå,on the back (of)
et bagasjerom,baggage compartment
utnyttelse -n,[the] utilization
et direktiv,directive
en mester,master
jazz -en,[the] jazz
ekstraordinær,extraordinary
deg,"you, yourself"
kompetent,"authorized, entitled; competent"
en erkjennelse,"acknowledgement, admission; cognition"
å stirre,"to stare, gaze"
subjektiv,subjective 
å slakte,to slaughter
en affære,affair
å rense,"to clean, cleanse"
vodka -en,[the] vodka 
en måne,moon 
et vitnemål,certificate
tilfeldigvis,"by chance, accidentally "
et uhyre,monster
et dødsfall,death
kvalme -n,"[the] nausea, sickness"
en vanskelighet,"difficulty, obstacle, embarrassment"
å vri,"to twist, wring"
en arbeiderklasse,laboring class
en utsettelse,"delay, deferral "
å parkere,to park 
en beliggenhet,"location, site"
et lærerutdanning,teacher training 
upraktisk,unpractical
en oppfølger,follow-up 
å bistå,"to assist, aid"
pinlig,"painful, embarrassing "
et triks,"trick, con "
et pålegg,"increase, imposition, rise "
ei levetid,lifetime
fleksibilitet -en,[the] flexibility 
ei rose,rose 
treårig,triennial 
en misforståelse,misunderstanding 
organisk,organic
ei pasning,"fit, registration, register "
en rammebetingelse,"general term, framework condition "
fargerik,"colorful, richly colored"
et ark,"sheet (of paper); gathering, quire"
en tilstedeværelse,"presence, existence "
anskaffelse -n,[the] procurement
ei tekstmelding,text message
bokmål -et,"[the] ""book language"""
et hefte,"delay, hindrance; (of a book) number, part"
halvveis,"halfway, midway, in some degree, so-so"
en sykkelvei,bikeway 
eksport -en,"[the] export(s), exportation"
å surre,"to lash, secure; hum, buzz; sizzle"
ei pumpe,pump 
fraværende,"absent, preoccupied"
en støvel,boot 
en ulempe,"disadvantage, inconvenience"
et apparat,"apparatus, camera"
å arve,to inherit
å korrigere,to correct
en talsmann,"spokesman, advocate "
ei gjerning,"work, mission, task"
å stappe,"to stuff, cram "
støtende,"offensive, objectionable"
urin -en,[the] urine 
støtt,constantly 
å sukke,to sigh 
et medikament,"medicament, medicine"
å dytte,"to jab, nudge; push, shove"
en grunnregel,"axiom, basic principle"
sommertid -a,[the] summertime 
mislykket,unsuccessful
å markedsføre,"to send, take to market"
en asylsøker,asylum seeker
en bekreftelse,"affirmation, confirmation, corroboration"
tyrkisk,Turkish
en klient,client
en skolekrets,school district 
å rekruttere,to recruit 
testing -a,[the] testing 
en terrorist,terrorist 
et nederlag,"defeat, reverse, setback"
skigåing -a,[the] skiing 
et styr,hubbub 
panikk -en,[the] panic
selvmord -et,[the] suicide 
psykologi -en,[the] psychology 
tilhørighet -a,[the] belonging 
gammeldags,"old-fashioned, out of date"
en sitron,lemon 
en spesifikasjon,specification
et rovdyr,"carnivore, predator"
en morgendag,"tomorrow, morrow "
fiskeri -et,[the] fishing
en tjener,"servant, server"
en saus,sauce 
effektivitet -n,"[the] effectiveness, efficiency"
å indikere,to indicate
sammensveiset,tight-knit
et kjølvann,wake (of boat)
et fang,"arms, embrace, knees, lap"
toleranse -n,[the] tolerance
å trakassere,"to harass, badger, pester "
en finans,"financial circles, the financial world"
en rabatt,discount 
en tilfeldighet,"chance, accidental occurrence "
en råne,boar
en førsteamanuensis,associate professor 
massevis,"quantity, mass"
ei pute,cushion 
taktisk,tactical 
et nyttår,New Year 
varighet -en,"[the] durability, duration"
et gjennombrudd,"breach, breakthrough"
døv,deaf
et postkontor,post office 
grafikk -en,[the] graphic art(s)
en kompensasjon,compensation
psykiatri -en,[the] psychiatry 
å råde,to advise
å skilles,"to be divorced, separate"
å forstyrre,"to disturb, interrupt"
ei pipe,pipe; chimney 
et sammendrag,"resumé, summary"
en omstendighet,"circumstance, fact "
mel -et,[the] flour 
rikelig,"plenty, plentiful, abundant"
nåde -n,"[the] grace, favour "
en synder,sinner 
et forfall,"date of maturity, due date"
en redsel,"fear, horror, terror "
ei østside,east side 
et spørsmålstegn,question mark 
østover,"east, eastwards "
å datere,to date
ør,"giddy, dizzy "
en vidvinkel,wide-angle 
ei ordbok,dictionary
en centimeter,"centimeter (=0,3937 inches)"
ei nedlasting,load function 
ombord,"aboard, on board "
ei overnatting,"overnight stop, accommodation "
å ofre,"to sacrifice, offer up"
mangfoldig,manifold; a great many
en hukommelse,memory
ei videreutdanning,postgraduate studies; higher education
et formannskap,"chairmanship, presidency"
neimen,indeed not 
en medalje,medal
afrikansk,African
en tålmodighet,patience 
nærliggende,nearby
nære,nearly
en barneskole,primary school 
ei myr,"bog, march, moor"
en tragedie,tragedy 
en genser,(pullover) sweater
ei dronning,queen
selveste,"(her-, him-)self"
å utvise,"to expel, send out"
et kompromiss,compromise
en membran,membrane 
japansk,Japanese
et avslag,"discount, reduction"
følsom,"sensitive, emotional, sentimental"
en bonus,bonus
et mord,murder
å utforske,"to explore, search"
en julaften,Christmas Eve
ei forsamling,"assembly, audience, crowd"
et VM ,World Championship 
å debutere,to make one's début
ei fitte,(vulgært) cunt 
rekkevidde -n,"[the] reach, range, scope"
et strøk,"tract, region, neighbourhood "
ensidig,"one-sided, partial, unilateral"
fundamental,"basic, fundamental"
ei julegave,Christmas gift
annenhver,every other (=second)
et kostyme,costume
en konfirmasjon,"[eccl., jur.] confirmation"
et foster,"embryo, fetus"
kolossal,colossal
et opprykk,"advancement, promotion "
å roe,"to calm, settle "
en knute,knot; [fig.] problem; bump
å utnevne,"to appoint, nominate "
en illusjon,illusion
en vara,"deputy chairman, vice-president "
klønete,"clumsy, awkward "
et møbel,"furniture, piece of furniture "
gjengjeldelse -n,"[the] reprisal, retribution"
en sei,"pollack, coalfish "
komisk,"comic, comical"
skrå,"sloping, slanting, oblique"
en kjelke,sled
en tunnel,tunnel
å misforstå,to misunderstand
en allergi,allergy
farget,coloured
ei eksponering,exposure 
en fasit,"answer, result, total"
kåt,"boisterous, frisky; [pop.] sexually active, horny"
utleie -a,"[the] letting, hiring out; renting "
å forene,"to combine, join, unite"
et rusmiddel,intoxicant
en jentunge,little girl
jaggu,"by God, you may be sure"
valgfri,optional 
et interiør,interior (of a house; a painting)
usannsynlig,"improbable, unlikely "
mett,"satisfied, [pop.] full"
markant,"marked, pronounced"
stabilitet -en,[the] stability 
et årsverk,year long assignment 
en egenkapital,"equity, equity capital, owners' equity "
å tillegge,"to ascribe to, attribute to"
en herre,"lord, master, gentleman"
en statssekretær,State Secretary 
idyllisk,idyllic
et belte,belt
en amatør,amateur
en idrettsplass,"athletic ground, stadium"
et brett,"board, nameplate, tray, diving board"
troverdighet -en,"[the] credibility, trustworthiness, reliability "
likeverdig,"equal, equivalent "
et flagg,flag
obs,"aware, observant, alert "
ei fagforening,"labor union, trade union"
en agent,agent; salesman
sådan,such 
å sprette,"to bounce, leap, kick, start"
en viten,knowledge
en faglærer,"subject teacher, specialist teacher"
å brette,"to fold, roll, wrap"
et hjemsted,home town
bestandig,"continuous, incessant"
takknemlig,"grateful, thankful "
en skilsmisse,"divorce, separation "
et fylkesutvalg,county executive committee 
rådighet -en,[the] possession 
medvirkende,contributory
å avholde,"to restrain, hold"
en maler,painter; artist
ei frue,"married woman, wife"
en skikkelse,"shape, form, character"
ei gruve,"mine, excavation"
et torg,market
en fagbevegelse,"labor, trade union movement"
et skjørt,skirt 
et høydepunkt,"height, summit, zenith"
ei gran,spruce
hjemmefra,away from home 
uhell -et,"[the] misfortune, mishap"
forsiktighet -a,"[the] caution, discretion, prudence"
øyeblikkelig,"immediate, instantaneous, present, momentary "
en komponist,composer
en gangvei,"footpath, walkway "
et kinn,cheek
flittig,"assiduous, diligent, industrious"
hevn -en,"[the] revenge, vengance"
ovennevnt,mentioned above 
Burma ,Myanmar
et friområde,"open area, recreation area"
en utlending,foreigner
målrettet,"goal-oriented, full of purpose "
et søksmål,"suit, action, lawsuit "
en sympati,sympathy
ei medvirkning,"assistance, cooperation"
å protestere,to protest 
å mase,"to slave away, struggle; fret, fuss"
ei utstrekning,extent; area; degree
ei flytting,"house move, removal, remove, move, relocation "
et folketall,population
homofili -en,[the] homosexuality 
et barnebarn,grandchild
ei servering,service 
innvendig,"inside, interior, internal, inward"
ei eik,oak (tree)
ustabil,unstable
en fjelltopp,"mountain top, peak"
ei innspilling,"bringing in; production, rehearsal"
et trøbbel,trouble 
ei scoring,score 
kommunistisk,communistic
innlagt,enclosed; inlaid
en felg,"(of a wheel) felly, rim"
ei li,"wooded or grassy hillside, mountainside"
elegant,elegant
asfalt -en,[the] asphalt
et nyhetsbyrå,news agency 
epleslang -en,[the] apple stealing
råtten,rotten
en dødsstraff,capital punishment
en engelskmann,Englishman
